OC_CODICE_PROGRAMMA;COD_STRUMENTO;DESCR_STRUMENTO;DESCR_TIPO_STRUMENTO;x_CICLO;x_AMBITO;x_PROGRAMMA;QUERY;NOTE
PSCEMROMAG2021;ERAR;TRASPORTI E MOBILITA' - TRASPORTO AEREO;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERAT;VI.A.1Assistenza Tecnica, Sorveglianza, Informazione;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERAT04;CAPACITA' AMMINISTRATIVA;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERAU;V.A.1 Azioni integrate per  lo sviluppo delle aree urbane;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
2007EM002FA002;ERAU;V.A.1 Azioni integrate per  lo sviluppo delle aree urbane;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;FSC;PAR FSC EMILIA ROMAGNA;0;
PSCEMILROMAGNA;ERDI;DIGITALIZZAZIONE;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERES;Edilizia Scolastica;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;EREU;Edilizia Universitaria;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMROMAG2021;ERID;OPERE  IDRAULICHE- AREA TEMATICA AMBIENTE E RISORSE NATURALI, SETTORE RISCHI E ADATTAMENTO CLIMATICO;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERIF;ISTRUZIONE E FORMAZIONE;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERIS;Impianti sportivi;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERMR;Rinnovo e amplimento del materiale rotabile ferroviario;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERPC;valorizzazione patrimonio culturale;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
2007EM002FA002;ERPT;V.A.1 Azioni integrate per la valorizzazione dei potenziali territoriali;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;FSC;PAR FSC EMILIA ROMAGNA;0;
PSCEMILROMAGNA;ERPT;V.A.1 Azioni integrate per la valorizzazione dei potenziali territoriali;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERQU;RIQUALIFICAZIONE URBANA;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERRF;I.A.1a Azioni di completamento, integrazione e implementazione  della rete ferroviaria locale;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERRS;Interventi per le scuole danneggiate da eventi sismici iniziati il 20 maggio 2012;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERSA;IV.A.2 Azioni integrate per la valorizzazione del sistema appenninico;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERSI;Interventi in materia di sicurezza idraulica e ripristino di manufatti e impianti danneggiati dal sisma;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
2007SA002FA016;SAUN;Delibera CIPE 78/2011  - Interventi in strutture  universitarie;ACCORDO DI PROGRAMMA QUADRO (APQ);2007-2013;FSC;PRA SARDEGNA;0;
PSCEMROMAG2021;ERTF;TRASPORTI E MOBILITA' - TRASPORTO FERROVIARIO;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERTM;TRASPORTI E MOBILITA';STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMROMAG2021;ERTS;TRASPORTI E MOBILITA' - TRASPORTO STRADALE E AEREO;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC EMILIA-ROMAGNA;0;
PSCEMILROMAGNA;ERVS;valorizzazione sedi spettacolo;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC EMILIA-ROMAGNA;0;
2014IT16M2OP005;A55;AttivitÃ  di Informazione e comunicazione;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR-FSE;PON RICERCA;0;
2012MISE1PAC22;HORP;Bando Horizon Pac 18/10/2017;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;PAC;PAC MISE IMPRESE, DOMANDA PUBBLICA E PROMOZIONE;0;
2012MISE1PAC22;DM53;Sportello Agrifood e Fabbrica Intelligente;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;PAC;PAC MISE IMPRESE, DOMANDA PUBBLICA E PROMOZIONE;0;
2012MISE1PAC22;DM28;Accordo Innovazione Fabbrica Intelligente, Agrifood, Scienze della vita DM 02/08/2019;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;PAC;PAC MISE IMPRESE, DOMANDA PUBBLICA E PROMOZIONE;0;
PSCCIMETFIRENZE;PATTOFI16;PATTO PER LA CITTA' DI FIRENZE;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC FIRENZE;0;
2016PATTIFIR:::PSCCIMETFIRENZE;PATTOFI16:::PATTOFI1;PATTO PER LA CITTA' DI FIRENZE:::PATTO PER LA CITTA' DI FIRENZE;STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PATTO FIRENZE:::PSC CITTA' FIRENZE;0;
2007CA001FA009;CMUN;APQ Innovazione, Ricerca e Competitivita;ACCORDO DI PROGRAMMA QUADRO (APQ);2007-2013;FSC;PRA CAMPANIA;0;
PSCUMBRIA2021;UMBIMPTUR;PIANOSTRALCIOUMB21-27 - Turismo e ospitalitÃ  - Imprese turistiche;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC UMBRIA;0;
PSCFRIULI;FRIAU;Aree Urbane;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRIBC;Valorizzazione delle risorse umane, culturali e storiche;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRIBO;Bonifiche;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRIDS;Difesa Suolo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRIIV;APQ in materia di Infrastrutture viarie e di comunicazione nella Regione Friuli-Venezia Giulia;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRIRC;Ricerca;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRIRD;I Atto integrativo - Ricerca;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRIRE;Ricerca - II Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRIRF;Ricerca - III Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRIRI;Tutela delle acque e gestione integrata delle risorse idriche (emergenza Tolmezzo);ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRISI;Societa' dell'Informazione;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRISJ;I Atto Integrativo -  SocietÃ  dell'Informazione;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRISK;SocietÃ  informazione - II Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRISL;Sviluppo locale;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRISP;Miglioramento dei sistemi di trasporto e comunicazione - Sistema portuale;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRISX;SocietÃ  dell'informazione - III Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRITR;Miglioramento sistemi di trasporto e comunicazione - Impianti e mat. rotabile Trenovia TS-Opicina;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCFRIULI;FRITS;Miglioramento qualita delle citta, istituzioni locali, vita associata e sicurezza - Trieste;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC FRIULI-VENEZIA GIULIA;0;
PSCCULTURA;FSC_OCSUFT;"Strumento di Attuazione Diretta -Disciplinari D'Obbligo - individuato all'interno della Delibera CIPE 10/2018 - Premesse della Delibera CIPE 10/2018 - Piano Operativo ""Cultura e turismo"" e Allegato 1";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_SMUS;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Delibera CIPE 3/2016, Allegato 2 della suddetta Delibera; Piano Stralcio Cultura e Turismo; Rimod";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_APPIA;"Strumento di Attuazione  - Accordo tra tutti gli Enti coinvolti nel processo (MIBAC/Regioni interessate) - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.32 Allegata alla Delibe";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_AQUILA;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.1 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_ASSTEC;"Strumento di Attuazione  - Convenzione - individuato nel Piano Stralcio Cultura e Turismo; Delibera CIPE 3/2016, Allegato 2 della suddetta Delibera; Piano Stralcio Cultura e Turismo; Rimodulazione Pia";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC-DUCEST;"Strumento di Attuazione  - Accordo tra tutti gli Enti coinvolti nel processo (MIBAC/Regioni interessate) - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.30 Allegata alla Delibe";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_GPDS;"Strumento di Attuazione Diretta - Programma di Attuazione dell'intervento - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 53 di cui all' Allegato 3 del  Piano Operativo ""C";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_BELL;"Strumento di Attuazione  - Apposito accordo tra gli Enti coinvolti nel processo - individuato nel Piano Stralcio Cultura e Turismo; Delibera CIPE 3/2016, Allegato 2 della suddetta Delibera; Piano Stra";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC-BORGHI;Programma di accompagnamento a sostegno dellÂ¿attuazione degli interventi per la rigenerazione e valorizzazione dei Borghi storici;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_CRFBS;"Strumento di Attuazione  - Accordo tra tutti gli Enti coinvolti nel processo (MIBAC/Regioni interessate) - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.31 Allegata alla Delibe";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_CAPODM;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.3 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_CC;"Strumento di Attuazione Diretta - Accordo Operativo, individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 50  di cui all' Allegato 3 del  Piano Operativo ""Cultura e turismo"",  fe";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_STC;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Delibera CIPE 3/2016, Allegato 2 della suddetta Delibera; Piano Stralcio Cultura e Turismo; Rimod";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;CC15;Capitali italiane della cultura 2015;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;CCI20;Capitale italiana della cultura 2020;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;CC16;Capitali italiane della cultura 2016;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;CC18;Capitali italiane della cultura 2018;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;CC17;Capitali italiane della cultura 2017;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_CIS_C;Strumento di Attuazione  - Contratto Istituzionale di Sviluppo a valere su Delibera CIPE 10/2018.;CONTRATTI ISTITUZIONALI DI SVILUPPO;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_CIS_N;Strumento di Attuazione  - Contratto Istituzionale di Sviluppo a valere su Delibera CIPE 10/2018.;CONTRATTI ISTITUZIONALI DI SVILUPPO;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_CISP;Strumento di Attuazione - Contratto Istituzionale di Sviluppo a valere su Delibera CIPE 10/2018.;CONTRATTI ISTITUZIONALI DI SVILUPPO;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_CIS_T;Strumento di Attuazione  - Contratto Istituzionale di Sviluppo a valere su Delibera CIPE 10/2018.;CONTRATTI ISTITUZIONALI DI SVILUPPO;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_CIS_V;Strumento di Attuazione  - Contratto Istituzionale di Sviluppo a valere su Delibera CIPE 3/2016.;CONTRATTI ISTITUZIONALI DI SVILUPPO;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC-CMC;Cultura Missione Comune 2022;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_PSACRO;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.10 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;CIS_VEPONA;"Contratto istituzionale di sviluppo ""Vesuvio-Pompei-Napoli"" (delibera n. 29/2022)";CONTRATTI ISTITUZIONALI DI SVILUPPO;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_ROEELL;"Strumento di Attuazione Diretta - A regia MiBACT - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 57 di cui all' Allegato 3 del  Piano Operativo ""Cultura e turismo"",  febbr";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_FIQP;"Strumento di Attuazione Diretta - Manifestazione di Interesse - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 58  di cui all' Allegato 3 del  Piano Operativo ""Cultura e tu";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_VFRA;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.33 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC-ICAR;digitalizzazione e valorizzazione del patrimonio iconografico;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_LDF;"Strumento di Attuazione Diretta - Accordo Operativo di Attuazione - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 5 di cui all' Allegato 3 del  Piano Operativo ""Cultura e";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_ICS;"Strumento di Attuazione  - Apposito accordo tra gli Enti Locali coinvolti nel processo - individuato nel Piano Stralcio Cultura e Turismo; Delibera CIPE 3/2016, Allegato 2 della suddetta Delibera; Pia";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_GPO;"Strumento di Attuazione Diretta - Disciplinare d'Obblighi - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 21di cui all' Allegato 3 del  Piano Operativo ""Cultura e turismo""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_POMPEI;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.7 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_PVT;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.11 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_SCTG;"Strumento di Attuazione Diretta - A regia MiBACT - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 59 di cui all' Allegato 3 del  Piano Operativo ""Cultura e turismo"",  febbr";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_TREM;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.22 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCCULTURA;FSC_VDA;"Strumento di Attuazione Diretta - Accordo Operativo di Attuazione - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 7 di cui all' Allegato 3 del  Piano Operativo ""Cultura e";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MIC;0;
PSCUNIVRICERCA;CRUI;Convenzione CRUI per la Realizzazione azioni su capitale umano;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC RICERCA;0;
PSCUNIVRICERCA;ASIS;Azioni di Sistema Piano Stralcio Ricerca e Innovazione 2015 - 2017;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC RICERCA;0;
PSCFRIULI2021;FVGANT2127;Piano stralcio 21-27 Friuli Venezia Giulia_interventi scuole;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC FRIULI-VENEZIA GIULIA;0;
2007IT004FAMA1;ATO1;Interventi urgenti e prioritari di mitigazione del rischio idrogeologico Regione Toscana;ACCORDO DI PROGRAMMA QUADRO (APQ);2007-2013;FSC;PNA RISANAMENTO AMBIENTALE;0;
PSCTOSCANA;TOSPT;Infrastrutture Patti Territoriali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC TOSCANA;0;
2017AREAINTABRU;GSVS;Strategie Aree Interne Regione Abruzzo - Area Gran Sasso Valle Subequana;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;SNAI;SNAI ABRUZZO;0;
2016PATTIMES;PATTOME16;PATTO PER LA CITTA DI MESSINA;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PATTO MESSINA;0;
2007IT002FA030;RIME;Stumento Attuativo RI-MED;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;FSC;PAS RI.MED.;0;
2015IGRUEPCI001;POCIGRUE;Programma Complementare IGRUE;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;POC;POC IGRUE;0;
PSCBOLZANO;V;Sistema d'Attuazione;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC BOLZANO;0;
2012MISE1PAC22;ICE;Piano export per le regioni della convergenza;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;PAC;PAC MISE IMPRESE, DOMANDA PUBBLICA E PROMOZIONE;0;
2012MIURXPAC21;MESS;"Programma ""Messaggeri della Conoscenza"" DD n.567/Ric. del 21 settembre 2012";STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;PAC;PAC MIUR;0;
PSCCAMPANIA;CAM3;ATTUAZIONE DEL PROGRAMMA STRAORDINARIO DI INTERVENTI DI CUI ALL'EX ART. 2, COMMA 1, DEL D.L. 185/2015l D.L. 185/2015;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC CAMPANIA;0;
2007CA001FA009;CAM3;ATTUAZIONE DEL PROGRAMMA STRAORDINARIO DI INTERVENTI DI CUI ALL'EX ART. 2, COMMA 1, DEL D.L. 185/2015l D.L. 185/2015;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;FSC;PRA CAMPANIA;0;
PSCCAMPANIA;CMBI;PROGETTI ATTIVAZIONE BIOSTABILIZZAZIONE FUT PRESSO STIR;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC CAMPANIA;0;
2014IT16RFOP001;OT_3;Attivazione dei potenziali territoriali di sviluppo legati alla cultura;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR;PON CULTURA;0;
2012MISE1PAC22;CSRC;Contratti di Sviluppo - contributo alle imprese, completamento sul PAC;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;PAC;PAC MISE IMPRESE, DOMANDA PUBBLICA E PROMOZIONE;0;
2007IT161PO006:::2012MISE1PAC22;CSRC;Contratti di Sviluppo - contributo alle imprese, completamento sul PAC;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;FESR;PON CONV FESR RICERCA E COMPETITIVITÀ:::PROGRAMMA PAC MINISTERO DELLO SVILUPPO ECONOMICO - IMPRESE, DOMANDA PUBBLICA E PROMOZIONE;0;
2012MISE3PAC31;CSV;Contratti di Sviluppo per progetti strategici di rilevanti dimensioni - Regione Campania;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;PAC;PAC MISE MISURE ANTICICLICHE;0;
2012MISE3PAC31;DMIN;Decreti Investimenti Innovativi DM 13 febbraio 2014 - PAC Campania;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;PAC;PAC MISE MISURE ANTICICLICHE;0;
2018FSCGIOVIMP;RESTOALSUD;Resto al Sud;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;RESTO AL SUD;0;
2012MISE1PAC21;185;Autoimpiego e autoimprenditorialitÃÂ ;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;PAC;PAC MISE AUTOIMPIEGO E AUTOIMPRENDITORIALITA';0;
2012MISE1PAC22;SMST;DM 6 Marzo 2013 - Regime di aiuto finalizzato a promuovere la nascita di nuove imprese;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;PAC;PAC MISE IMPRESE, DOMANDA PUBBLICA E PROMOZIONE;0;
PSCUMBRIA2021;UMBINVEST;PIANOSTRALCIOUMB21-27 - Industria e servizi;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC UMBRIA;0;
PSCLIGURIA;LIGAF;Recupero e protezione aree agricole e forestali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
PSCLIGURIA;LIGAH;Interventi in Agricoltura;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
PSCLIGURIA;LIGBC;Beni Culturali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
PSCLIGURIA;LIGBD;Beni culturali - I Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
PSCLIGURIA;LIGBE;Beni culturali - II Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
PSCLIGURIA;LIGBF;Beni Culturali - III Atto Integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
PSCLIGURIA;LIGCS;Centri storici nei territori montani;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
PSCLIGURIA;LIGDC;Difesa della costa;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
PSCLIGURIA;LIGDD;Difesa della costa - I Atto Integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
PSCLIGURIA;LIGDS;Difesa del Suolo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
PSCLIGURIA;LIGEC;Sviluppo locale;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
PSCLIGURIA;LIGID;Recupero infrastrutturale dell'ex istituto Doria;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
PSCLIGURIA;LIGIE;Recupero infrastrutturale a fini socio assistenziali - I Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
PSCLIGURIA;LIGLR;Liguria in rete;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
PSCLIGURIA;LIGLS;"Liguria in rete - Atto integrativo ""Terza eta' e welfare nella societa' dell'informazione""";ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LIGURIA;0;
