COD_STRUMENTO;DESCR_STRUMENTO;DESCR_TIPO_STRUMENTO;OC_CODICE_PROGRAMMA;x_CICLO;x_AMBITO;x_PROGRAMMA;QUERY;NOTE
PATTOFI16;PATTO PER LA CITTA' DI FIRENZE;STRUMENTI ATTUAZIONE DIRETTA;2016PATTIFIR;2014-2020;FSC;PATTO FIRENZE;0;
CMUN;APQ Innovazione, Ricerca e Competitivita;ACCORDO DI PROGRAMMA QUADRO (APQ);2007CA001FA009;2007-2013;FSC;PRA CAMPANIA;0;
;;;2015XXXXXPSO000;2014-2020;FSC;PIANO FSC DISSESTO IDROGEOLOGICO (FONDO);0;
SAFR;1.6.1 Interventi per la produzione di energia da fonti rinnovabili;STRUMENTI ATTUAZIONE DIRETTA;2016PATTISARD;2014-2020;FSC;PATTO SARDEGNA;0;
FSC_OCSUFT;"Strumento di Attuazione Diretta -Disciplinari D'Obbligo - individuato all'interno della Delibera CIPE 10/2018 - Premesse della Delibera CIPE 10/2018 - Piano Operativo ""Cultura e turismo"" e Allegato 1";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_SMUS::;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Delibera CIPE 3/2016, Allegato 2 della suddetta Delibera; Piano Stralcio Cultura e Turismo; Rimod";STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_APPIA;"Strumento di Attuazione  - Accordo tra tutti gli Enti coinvolti nel processo (MIBAC/Regioni interessate) - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.32 Allegata alla Delibe";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_APPIA:;"Strumento di Attuazione  - Accordo tra tutti gli Enti coinvolti nel processo (MIBAC/Regioni interessate) - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.32 Allegata alla Delibe";STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_AQUILA;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.1 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_AQUILA;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.1 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_SMUS;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Delibera CIPE 3/2016, Allegato 2 della suddetta Delibera; Piano Stralcio Cultura e Turismo; Rimod";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_ASSTEC;"Strumento di Attuazione  - Convenzione - individuato nel Piano Stralcio Cultura e Turismo; Delibera CIPE 3/2016, Allegato 2 della suddetta Delibera; Piano Stralcio Cultura e Turismo; Rimodulazione Pia";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC-DUCEST;"Strumento di Attuazione  - Accordo tra tutti gli Enti coinvolti nel processo (MIBAC/Regioni interessate) - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.30 Allegata alla Delibe";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC-DUCEST;"Strumento di Attuazione  - Accordo tra tutti gli Enti coinvolti nel processo (MIBAC/Regioni interessate) - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.30 Allegata alla Delibe";STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_BELL;"Strumento di Attuazione  - Apposito accordo tra gli Enti coinvolti nel processo - individuato nel Piano Stralcio Cultura e Turismo; Delibera CIPE 3/2016, Allegato 2 della suddetta Delibera; Piano Stra";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_CRFBS;"Strumento di Attuazione  - Accordo tra tutti gli Enti coinvolti nel processo (MIBAC/Regioni interessate) - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.31 Allegata alla Delibe";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_CAPODM;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.3 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_STC;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Delibera CIPE 3/2016, Allegato 2 della suddetta Delibera; Piano Stralcio Cultura e Turismo; Rimod";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
CC15;Capitali italiane della cultura 2015;STRUMENTI ATTUAZIONE DIRETTA;2018CAPCULTFSC;2014-2020;FSC;CAPITALI ITALIANE DELLA CULTURA;0;
CC18;Capitali italiane della cultura 2018;STRUMENTI ATTUAZIONE DIRETTA;2018CAPCULTFSC;2014-2020;FSC;CAPITALI ITALIANE DELLA CULTURA;0;
CC17;Capitali italiane della cultura 2017;STRUMENTI ATTUAZIONE DIRETTA;2018CAPCULTFSC;2014-2020;FSC;CAPITALI ITALIANE DELLA CULTURA;0;
FSC_CIS_N;Strumento di Attuazione  - Contratto Istituzionale di Sviluppo a valere su Delibera CIPE 10/2018.;CONTRATTI ISTITUZIONALI DI SVILUPPO;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_CIS_T;Strumento di Attuazione  - Contratto Istituzionale di Sviluppo a valere su Delibera CIPE 10/2018.;CONTRATTI ISTITUZIONALI DI SVILUPPO;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_CIS_V;Strumento di Attuazione  - Contratto Istituzionale di Sviluppo a valere su Delibera CIPE 3/2016.;CONTRATTI ISTITUZIONALI DI SVILUPPO;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_OCSUFT;"Strumento di Attuazione Diretta -Disciplinari D'Obbligo - individuato all'interno della Delibera CIPE 10/2018 - Premesse della Delibera CIPE 10/2018 - Piano Operativo ""Cultura e turismo"" e Allegato 1";STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_STC:::;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Delibera CIPE 3/2016, Allegato 2 della suddetta Delibera; Piano Stralcio Cultura e Turismo; Rimod";STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_PSACRO;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.10 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_DT;Strumento di Attuazione Diretta - Accordo con UniversitÃ  Statali/Bandi per attivitÃ  di ricerca, individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 54  di cui all' Allegato 3;STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
PSCT;Piano stralcio cultura e turismo delibera 03/2016;STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_GPDS;"Strumento di Attuazione Diretta - Programma di Attuazione dell'intervento - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 53 di cui all' Allegato 3 del  Piano Operativo ""C";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_GDTS;Strumento di Attuazione Diretta - Accordo Quadro tra MIBACT/Comuni di Venezia Roma Firenze Milano - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 51 di cui all' Allegato 3;STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_SICC;"Strumento di Attuazione Diretta - Accordo Operativo di Attuazione - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 49 di cui all' Allegato 3 del  Piano Operativo ""Cultura e";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_ROEELL;"Strumento di Attuazione Diretta - A regia MiBACT - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 57 di cui all' Allegato 3 del  Piano Operativo ""Cultura e turismo"",  febbr";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_FIQP;"Strumento di Attuazione Diretta - Manifestazione di Interesse - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 58  di cui all' Allegato 3 del  Piano Operativo ""Cultura e tu";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_IDMS;Strumento di Attuazione Diretta - Accordi tra PA/Bandi per la realizzazione degli strumenti - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 56 di cui all' Allegato 3 del;STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_LDF;"Strumento di Attuazione Diretta - Accordo Operativo di Attuazione - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 5 di cui all' Allegato 3 del  Piano Operativo ""Cultura e";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_LDF:::;"Strumento di Attuazione Diretta - Accordo Operativo di Attuazione - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 5 di cui all' Allegato 3 del  Piano Operativo ""Cultura e";STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_ICS;"Strumento di Attuazione  - Apposito accordo tra gli Enti Locali coinvolti nel processo - individuato nel Piano Stralcio Cultura e Turismo; Delibera CIPE 3/2016, Allegato 2 della suddetta Delibera; Pia";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_MI;Strumento di Attuazione Diretta - Bando per il sostegno ad aggregazioni di impresa/Accordi di Programma - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 52 di cui all' Alle;STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_GPO:::;"Strumento di Attuazione Diretta - Disciplinare d'Obblighi - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 21di cui all' Allegato 3 del  Piano Operativo ""Cultura e turismo""";STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_GPO;"Strumento di Attuazione Diretta - Disciplinare d'Obblighi - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 21di cui all' Allegato 3 del  Piano Operativo ""Cultura e turismo""";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_POMPEI;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.7 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_CISBZP;Strumento di Attuazione  - Contratto Istituzionale di Sviluppo a valere su Delibera CIPE 10/2018.;CONTRATTI ISTITUZIONALI DI SVILUPPO;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_PVT;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.11 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_PVT:::;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.11 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_SCTG;"Strumento di Attuazione Diretta - A regia MiBACT - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 59 di cui all' Allegato 3 del  Piano Operativo ""Cultura e turismo"",  febbr";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_TREM;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.22 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_VDA;"Strumento di Attuazione Diretta - Accordo Operativo di Attuazione - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 7 di cui all' Allegato 3 del  Piano Operativo ""Cultura e";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_VDA:::;"Strumento di Attuazione Diretta - Accordo Operativo di Attuazione - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 7 di cui all' Allegato 3 del  Piano Operativo ""Cultura e";STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_VFRA;"Strumento di Attuazione  - Disciplinare d'Obblighi - individuato nel Piano Stralcio Cultura e Turismo; Scheda intervento n.33 Allegata alla Delibera CIPE 3/2016. Delibera CIPE 3/2016, Allegato 2 della";STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
FSC_WIFI_I;Strumento di Attuazione Diretta - Accordi di programma con Enti pubblici/Call-Bandi per individuazione dei fornitori - individuato all'interno della Delibera CIPE 10/2018 - Scheda intervento n. 55 di;STRUMENTI ATTUAZIONE DIRETTA;2016MBCSGFSC006;2014-2020;FSC;PIANO FSC CULTURA E TURISMO;0;
CRUI;Convenzione CRUI per la Realizzazione azioni su capitale umano;STRUMENTI ATTUAZIONE DIRETTA;2017FSCRICERCA;2014-2020;FSC;PIANO FSC RICERCA E INNOVAZIONE;0;
ASIS;Azioni di Sistema Piano Stralcio Ricerca e Innovazione 2015 - 2017;STRUMENTI ATTUAZIONE DIRETTA;2017FSCRICERCA;2014-2020;FSC;PIANO FSC RICERCA E INNOVAZIONE;0;
ATO1;Interventi urgenti e prioritari di mitigazione del rischio idrogeologico Regione Toscana;ACCORDO DI PROGRAMMA QUADRO (APQ);2007IT004FAMA1;2007-2013;FSC;PNA RISANAMENTO AMBIENTALE;0;
RIME;Stumento Attuativo RI-MED;STRUMENTI DI ATTUAZIONE DIRETTA;2007IT002FA030;2007-2013;FSC;PAS RI.MED.;0;
POCIGRUE;Programma Complementare IGRUE;STRUMENTI ATTUAZIONE DIRETTA;2015IGRUEPCI001;2014-2020;POC;POC IGRUE;0;
V;Sistema d'Attuazione;STRUMENTI DI ATTUAZIONE DIRETTA;2007BO002FA009;2007-2013;FSC;PAR FSC PA BOLZANO;0;
ICE;Piano export per le regioni della convergenza;STRUMENTI DI ATTUAZIONE DIRETTA;2012MISE1PAC22;2007-2013;POC;PAC MISE IMPRESE, DOMANDA PUBBLICA E PROMOZIONE;0;
MESS;"Programma ""Messaggeri della Conoscenza"" DD n.567/Ric. del 21 settembre 2012";STRUMENTI DI ATTUAZIONE DIRETTA;2012MIURXPAC21;2007-2013;POC;PAC MIUR;0;
CAM3;ATTUAZIONE DEL PROGRAMMA STRAORDINARIO DI INTERVENTI DI CUI ALL'EX ART. 2, COMMA 1, DEL D.L. 185/2015l D.L. 185/2015;STRUMENTI DI ATTUAZIONE DIRETTA;2007CA001FA009;2007-2013;FSC;PRA CAMPANIA;0;
CMBI;PROGETTI ATTIVAZIONE BIOSTABILIZZAZIONE FUT PRESSO STIR;STRUMENTI DI ATTUAZIONE DIRETTA;2007CA001FA009;2007-2013;FSC;PRA CAMPANIA;0;
SAIM;2.2.1 Interventi su infrastrutture idriche multisettoriali;STRUMENTI ATTUAZIONE DIRETTA;2016PATTISARD;2014-2020;FSC;PATTO SARDEGNA;0;
PNIR;Potenziamento infrastrutture di ricerca;STRUMENTI ATTUAZIONE DIRETTA;2017FSCRICERCA;2014-2020;FSC;PIANO FSC RICERCA E INNOVAZIONE;0;
OT_3;Attivazione dei potenziali territoriali di sviluppo legati alla cultura;STRUMENTI ATTUAZIONE DIRETTA;2014IT16RFOP001;2014-2020;FESR;PON CULTURA;0;
CSRC;Contratti di Sviluppo - contributo alle imprese, completamento sul PAC;STRUMENTI DI ATTUAZIONE DIRETTA;2012MISE1PAC22;2007-2013;POC;PAC MISE IMPRESE, DOMANDA PUBBLICA E PROMOZIONE;0;
CSRC;Contratti di Sviluppo - contributo alle imprese, completamento sul PAC;STRUMENTI DI ATTUAZIONE DIRETTA;2007IT161PO006:::2012MISE1PAC22;2007-2013;FESR;PON CONV FESR RICERCA E COMPETITIVITÀ:::PROGRAMMA PAC MINISTERO DELLO SVILUPPO ECONOMICO - IMPRESE, DOMANDA PUBBLICA E PROMOZIONE;0;
CSV;Contratti di Sviluppo per progetti strategici di rilevanti dimensioni - Regione Campania;STRUMENTI DI ATTUAZIONE DIRETTA;2012MISE3PAC31;2007-2013;POC;PAC MISE MISURE ANTICICLICHE;0;
DMIN;Decreti Investimenti Innovativi DM 13 febbraio 2014 - PAC Campania;STRUMENTI DI ATTUAZIONE DIRETTA;2012MISE3PAC31;2007-2013;POC;PAC MISE MISURE ANTICICLICHE;0;
RESTOALSUD;Resto al Sud;STRUMENTI ATTUAZIONE DIRETTA;2018FSCGIOVIMP;2014-2020;FSC;RESTO AL SUD;0;
185;Autoimpiego e autoimprenditorialitÃÂ ;STRUMENTI DI ATTUAZIONE DIRETTA;2012MISE1PAC21;2007-2013;POC;PAC MISE AUTOIMPIEGO E AUTOIMPRENDITORIALITA';0;
SMST;DM 6 Marzo 2013 - Regime di aiuto finalizzato a promuovere la nascita di nuove imprese;STRUMENTI DI ATTUAZIONE DIRETTA;2012MISE1PAC22;2007-2013;POC;PAC MISE IMPRESE, DOMANDA PUBBLICA E PROMOZIONE;0;
SAIS;1.10.4  Impiantistica sportiva;STRUMENTI ATTUAZIONE DIRETTA;2016PATTISARD;2014-2020;FSC;PATTO SARDEGNA;0;
SALA;1.10.2 Riqualificazione e ammodernamento edilizia scolastica;STRUMENTI ATTUAZIONE DIRETTA;2016PATTISARD;2014-2020;FSC;PATTO SARDEGNA;0;
LAZI;Accordo di programma quadro per l'attuazine del piano straordinario di tutela e gestione della risorsa idrica, finalizzato prioritariamente a potenziare la capacita di depurazione dei reflui urbani;ACCORDO DI PROGRAMMA QUADRO (APQ);2007PI004MA004;2007-2013;FSC;PS RISORSA IDRICA LAZIO;0;
LIRU;"""Attuazione del piano straordinario di tutela e gestione della risorsa idrica, finalizzato a potenziare la capacita di depurazione dei reflui urbani""";ACCORDO DI PROGRAMMA QUADRO (APQ);2007PI004MA008;2007-2013;FSC;PS RISORSA IDRICA LIGURIA;0;
LOMPR;Progettazione di interventi di difesa del suolo fino all'esecutivo finanziati dal Ministero dell'Ambiente;STRUMENTI ATTUAZIONE DIRETTA;2015XXXXXPSO000;2014-2020;FSC;PIANO FSC DISSESTO IDROGEOLOGICO (FONDO);0;
LOMS;PIANO STRAORDINARIO TUTELA E GESTIONE RISORSA IDRICA ART. 1,COMMA 112,L. 147/2013-FINALIZZATI ADEGUAMENTO SERVIZI FOGNATURA,DEPURAZIONE PER AGGLOMERATI INTERESSATI DA PROCEDURE INFRAZIONE COMUNITARIA;ACCORDO DI PROGRAMMA QUADRO (APQ);2007PI004MA003;2007-2013;FSC;PS RISORSA IDRICA LOMBARDIA;0;
LASV;Lavoro & Sviluppo  MLPS - DipTurismo;STRUMENTI DI ATTUAZIONE DIRETTA;2012MISE1PAC22;2007-2013;POC;PAC MISE IMPRESE, DOMANDA PUBBLICA E PROMOZIONE;0;
BALZ;"Progetti afferenti a ""La Balzana""";STRUMENTI ATTUAZIONE DIRETTA;FSCACTBENICONF;2014-2020;FSC;BENI CONFISCATI;0;
MO3N;APQ GESTIONE DEI RIFIUTI URBANI - II^ ATTO INTEGRATIVO;ACCORDO DI PROGRAMMA QUADRO (APQ);2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MARI;PIANO STRAORDINARIO DI TUTELA E GESTIONE DELLA RISORSA IDRICA FINALIZZATO PRIORITARIAMENTE A POTENZIARE LA CAPACITA' DI DEPURAZIONE DEI REFLUI URBANI;ACCORDO DI PROGRAMMA QUADRO (APQ);2007PI004MA007;2007-2013;FSC;PS RISORSA IDRICA MARCHE;0;
A32;Informazione e comunicazione;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP005;2014-2020;FESR-FSE;PON RICERCA;0;
DMMC;D.M. 29.07.2013 Macchinari;STRUMENTI DI ATTUAZIONE DIRETTA;2012MISE1PAC22;2007-2013;POC;PAC MISE IMPRESE, DOMANDA PUBBLICA E PROMOZIONE;0;
CAMN;APQ Metropolitana di Napoli Linea 1;ACCORDO DI PROGRAMMA QUADRO (APQ);2007CA001FA009;2007-2013;FSC;PRA CAMPANIA;0;
MO1A;I.A Sostegno mirato e veloce per le imprese e il lavoro;STRUMENTI DI ATTUAZIONE DIRETTA;2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO1B;I.B Fondo di garanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO1C;I.C Innovazione e Ricerca Universitaria;STRUMENTI DI ATTUAZIONE DIRETTA;2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO2M;II.A AccessibilitÃÂ  materiale - ViabilitÃÂ  1ÃÂ° Atto integrativo;ACCORDO DI PROGRAMMA QUADRO (APQ);2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO2N;ACCESSIBILITA' MATERIALE - VIABILITA' - II^ ATTO INTEGRATIVO;ACCORDO DI PROGRAMMA QUADRO (APQ);2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO2O;II.A AccessibilitÃÂ  materiale - ViabilitÃÂ  3ÃÂ° Atto integrativo;ACCORDO DI PROGRAMMA QUADRO (APQ);2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO2P;Viabilita - IV^ Atto integrativo;ACCORDO DI PROGRAMMA QUADRO (APQ);2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO3B;III.B Difesa suolo;STRUMENTI DI ATTUAZIONE DIRETTA;2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO3C;GESTIONE DEI RIFIUTI URBANI;ACCORDO DI PROGRAMMA QUADRO (APQ);2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO3D;APQ SISTEMA IDRICO E FOGNARIO DEPURATIVO;ACCORDO DI PROGRAMMA QUADRO (APQ);2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO3D;APQ SISTEMA IDRICO E FOGNARIO DEPURATIVO;ACCORDO DI PROGRAMMA QUADRO (APQ);2007IT001FAOS2;2007-2013;FSC;ODS MOLISE;0;
MO3F;III.F Sicurezza e legalitÃÂ ;STRUMENTI DI ATTUAZIONE DIRETTA;2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO3M;APQ GESTIONE DEI RIFIUTI URBANI - I^ ATTO INTEGRATIVO;ACCORDO DI PROGRAMMA QUADRO (APQ);2007IT001FAOS2;2007-2013;FSC;ODS MOLISE;0;
MO3M;APQ GESTIONE DEI RIFIUTI URBANI - I^ ATTO INTEGRATIVO;ACCORDO DI PROGRAMMA QUADRO (APQ);2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO4A;IV.A Inclusione sociale e interventi socio-educativi;STRUMENTI DI ATTUAZIONE DIRETTA;2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO4A;IV.A Inclusione sociale e interventi socio-educativi;STRUMENTI DI ATTUAZIONE DIRETTA;2007IT001FAOS2;2007-2013;FSC;ODS MOLISE;0;
MO4B;IV.B Rete socio-sanitaria regionale;STRUMENTI DI ATTUAZIONE DIRETTA;2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO4B;IV.B Rete socio-sanitaria regionale;STRUMENTI DI ATTUAZIONE DIRETTA;2007IT001FAOS2;2007-2013;FSC;ODS MOLISE;0;
MO5A;V.A Istruzione;STRUMENTI DI ATTUAZIONE DIRETTA;2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
MO5A;V.A Istruzione;STRUMENTI DI ATTUAZIONE DIRETTA;2007IT001FAOS2;2007-2013;FSC;ODS MOLISE;0;
MO5B;V.B Progetto Scuola Sicura;STRUMENTI DI ATTUAZIONE DIRETTA;2007MO002FA009;2007-2013;FSC;PAR FSC MOLISE;0;
